size,signal_type,iteration,vector_size,vFFT_mean_err,vFFT_max_err,vFFT_std_err,nFFT_mean_err,nFFT_max_err,nFFT_std_err,vIFFT_mean_err,vIFFT_max_err,vIFFT_std_err,nIFFT_mean_err,nIFFT_max_err,nIFFT_std_err,vFFT_mean_norm_err,nFFT_mean_norm_err,vIFFT_mean_norm_err,nIFFT_mean_norm_err
32,sine,3,128,0.00045378177,0.001258272,0.00031793187,0.00047376938,0.0010918301,0.00032093792,8.126718e-05,0.00019301011,4.549702e-05,8.834628e-05,0.00022006538,5.513006e-05,1.17264776e-07,1.2256649e-07,1.519953e-07,1.5580181e-07
32,sine,4,128,0.0005233763,0.0017605231,0.00040179904,0.0005249849,0.0020132351,0.00043658455,7.885224e-05,0.00018874079,4.72499e-05,6.662038e-05,0.00022006538,5.3330692e-05,2.2430746e-07,1.7766581e-07,1.1348992e-07,9.7404836e-08
32,impulse,0,128,0.0005134529,0.0013427734,0.00033040298,0.00061821286,0.0014287962,0.00038076183,8.23328e-05,0.00019301011,4.082324e-05,0.00010303443,0.00031121945,6.477343e-05,1.415604e-07,1.6914012e-07,1.3131331e-07,1.6189635e-07
32,impulse,1,128,0.00044479367,0.00084034237,0.00025327486,0.0004184202,0.0010066176,0.00023344194,7.83069e-05,0.00019301011,4.4601322e-05,9.010405e-05,0.00018310547,4.1424577e-05,1.7007338e-07,1.3958955e-07,1.6626771e-07,1.8080017e-07
32,impulse,2,128,0.0005982331,0.0020132351,0.0004170182,0.00055734743,0.0021836602,0.00044652124,8.8266686e-05,0.00019301011,4.6353947e-05,8.110046e-05,0.00019540785,4.25323e-05,1.7643148e-07,1.6730401e-07,1.2159516e-07,1.154214e-07
32,impulse,3,128,0.0004599214,0.0012207031,0.000279156,0.00045438006,0.0011467465,0.00029282222,7.9474856e-05,0.00021198187,5.1310035e-05,7.8596095e-05,0.0002516544,4.687759e-05,1.8864927e-07,2.4683192e-07,1.403215e-07,1.4110627e-07
32,impulse,4,128,0.00055259897,0.0012207031,0.0003095367,0.0005826644,0.0015632628,0.00034050673,8.800605e-05,0.00024414062,5.7952577e-05,9.197723e-05,0.00021850591,5.254166e-05,1.604793e-07,1.6927041e-07,1.5810267e-07,1.6458341e-07
32,step,0,128,0.000472461,0.0015440809,0.00038881117,0.00046801075,0.0014699213,0.00039684252,8.67763e-05,0.00018563117,4.1924483e-05,0.000104630984,0.0002516544,5.829884e-05,1.1395933e-07,1.1210865e-07,1.3389837e-07,1.5747145e-07
32,step,1,128,0.0005461245,0.0012207031,0.0003089171,0.0005195692,0.0012207031,0.00027293433,8.206295e-05,0.00018563117,5.311142e-05,8.59265e-05,0.00022006538,5.712426e-05,4.8276115e-07,3.4894947e-07,1.03607185e-07,1.04246276e-07
32,step,2,128,0.00044165738,0.0015632628,0.00032745334,0.00043114764,0.0015632628,0.00032285173,7.34547e-05,0.00020387229,4.7126272e-05,7.291049e-05,0.00019301011,4.5015997e-05,1.4238825e-07,1.4484877e-07,1.983112e-07,1.4947918e-07
